date,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2021-01-14,Austria,AUT,2021-01-14,84494.0,84494.0,,16904.0,10480.0,0.94,0.94,,1164.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-15,Austria,AUT,2021-01-15,103015.0,103015.0,,18521.0,11256.0,1.14,1.14,,1250.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-16,Austria,AUT,2021-01-16,109894.0,109883.0,11.0,6879.0,11599.0,1.22,1.22,0.0,1288.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-17,Austria,AUT,2021-01-17,115600.0,115223.0,377.0,5706.0,12093.0,1.28,1.28,0.0,1343.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-18,Austria,AUT,2021-01-18,127085.0,125817.0,1268.0,11485.0,12924.0,1.41,1.4,0.01,1435.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-19,Austria,AUT,2021-01-19,153260.0,150525.0,2735.0,26175.0,14530.0,1.7,1.67,0.03,1613.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-20,Austria,AUT,2021-01-20,177009.0,172960.0,4049.0,23749.0,15631.0,1.97,1.92,0.04,1736.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-21,Austria,AUT,2021-01-21,196942.0,192727.0,4215.0,19933.0,16064.0,2.19,2.14,0.05,1784.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-22,Austria,AUT,2021-01-22,208605.0,203803.0,4802.0,11663.0,15084.0,2.32,2.26,0.05,1675.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-23,Austria,AUT,2021-01-23,211750.0,206946.0,4804.0,3145.0,14551.0,2.35,2.3,0.05,1616.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-24,Austria,AUT,2021-01-24,213011.0,208199.0,4812.0,1261.0,13916.0,2.37,2.31,0.05,1545.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-25,Austria,AUT,2021-01-25,214522.0,209599.0,4923.0,1511.0,12491.0,2.38,2.33,0.05,1387.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-26,Austria,AUT,2021-01-26,223272.0,217443.0,5829.0,8750.0,10002.0,2.48,2.41,0.06,1111.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-27,Austria,AUT,2021-01-27,231346.0,224990.0,6356.0,8074.0,7762.0,2.57,2.5,0.07,862.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-28,Austria,AUT,2021-01-28,241308.0,232289.0,9019.0,9962.0,6338.0,2.68,2.58,0.1,704.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-29,Austria,AUT,2021-01-29,256415.0,237673.0,18742.0,15107.0,6830.0,2.85,2.64,0.21,758.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-30,Austria,AUT,2021-01-30,260132.0,239014.0,21118.0,3717.0,6912.0,2.89,2.65,0.23,767.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-31,Austria,AUT,2021-01-31,261499.0,239374.0,22125.0,1367.0,6927.0,2.9,2.66,0.25,769.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-01,Austria,AUT,2021-02-01,266208.0,240962.0,25246.0,4709.0,7384.0,2.96,2.68,0.28,820.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-02,Austria,AUT,2021-02-02,283781.0,244105.0,39676.0,17573.0,8644.0,3.15,2.71,0.44,960.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-03,Austria,AUT,2021-02-03,302109.0,247318.0,54791.0,18328.0,10109.0,3.35,2.75,0.61,1122.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-04,Austria,AUT,2021-02-04,322859.0,250233.0,72626.0,20750.0,11650.0,3.58,2.78,0.81,1294.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-05,Austria,AUT,2021-02-05,344255.0,254397.0,89858.0,21396.0,12549.0,3.82,2.82,1.0,1393.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-06,Austria,AUT,2021-02-06,353447.0,257173.0,96274.0,9192.0,13331.0,3.92,2.86,1.07,1480.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-07,Austria,AUT,2021-02-07,358498.0,257798.0,100700.0,5051.0,13857.0,3.98,2.86,1.12,1539.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-08,Austria,AUT,2021-02-08,368292.0,259862.0,108430.0,9794.0,14583.0,4.09,2.89,1.2,1619.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-09,Austria,AUT,2021-02-09,387890.0,262735.0,125155.0,19598.0,14873.0,4.31,2.92,1.39,1651.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-10,Austria,AUT,2021-02-10,409934.0,266349.0,143585.0,22044.0,15404.0,4.55,2.96,1.59,1710.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-11,Austria,AUT,2021-02-11,434830.0,271792.0,163038.0,24896.0,15996.0,4.83,3.02,1.81,1776.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-12,Austria,AUT,2021-02-12,461789.0,280382.0,181407.0,26959.0,16791.0,5.13,3.11,2.01,1864.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-13,Austria,AUT,2021-02-13,472279.0,285750.0,186529.0,10490.0,16976.0,5.24,3.17,2.07,1885.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-14,Austria,AUT,2021-02-14,474321.0,286219.0,188102.0,2042.0,16546.0,5.27,3.18,2.09,1837.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-15,Austria,AUT,2021-02-15,481480.0,290152.0,191328.0,7159.0,16170.0,5.35,3.22,2.12,1795.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-16,Austria,AUT,2021-02-16,496218.0,297215.0,199003.0,14738.0,15475.0,5.51,3.3,2.21,1718.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-17,Austria,AUT,2021-02-17,516036.0,307395.0,208641.0,19818.0,15157.0,5.73,3.41,2.32,1683.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-18,Austria,AUT,2021-02-18,536081.0,319313.0,216768.0,20045.0,14464.0,5.95,3.55,2.41,1606.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-19,Austria,AUT,2021-02-19,557604.0,332341.0,225263.0,21523.0,13688.0,6.19,3.69,2.5,1520.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-20,Austria,AUT,2021-02-20,570674.0,343706.0,226968.0,13070.0,14056.0,6.34,3.82,2.52,1561.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-21,Austria,AUT,2021-02-21,576679.0,349334.0,227345.0,6005.0,14623.0,6.4,3.88,2.52,1624.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-22,Austria,AUT,2021-02-22,583655.0,354466.0,229189.0,6976.0,14596.0,6.48,3.94,2.54,1621.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-23,Austria,AUT,2021-02-23,598665.0,365004.0,233661.0,15010.0,14635.0,6.65,4.05,2.59,1625.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-24,Austria,AUT,2021-02-24,618581.0,381450.0,237131.0,19916.0,14649.0,6.87,4.24,2.63,1627.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-25,Austria,AUT,2021-02-25,638742.0,397936.0,240806.0,20161.0,14666.0,7.09,4.42,2.67,1628.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-26,Austria,AUT,2021-02-26,668272.0,422506.0,245766.0,29530.0,15810.0,7.42,4.69,2.73,1755.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-27,Austria,AUT,2021-02-27,693470.0,445726.0,247744.0,25198.0,17542.0,7.7,4.95,2.75,1948.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-02-28,Austria,AUT,2021-02-28,703624.0,455433.0,248191.0,10154.0,18135.0,7.81,5.06,2.76,2014.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-01,Austria,AUT,2021-03-01,712561.0,463490.0,249071.0,8937.0,18415.0,7.91,5.15,2.77,2045.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-02,Austria,AUT,2021-03-02,738262.0,486803.0,251459.0,25701.0,19942.0,8.2,5.41,2.79,2214.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-03,Austria,AUT,2021-03-03,766475.0,512638.0,253837.0,28213.0,21128.0,8.51,5.69,2.82,2346.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-04,Austria,AUT,2021-03-04,794114.0,537497.0,256617.0,27639.0,22196.0,8.82,5.97,2.85,2464.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-05,Austria,AUT,2021-03-05,831531.0,571826.0,259705.0,37417.0,23323.0,9.23,6.35,2.88,2590.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-06,Austria,AUT,2021-03-06,859693.0,597471.0,262222.0,28162.0,23746.0,9.55,6.63,2.91,2637.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-07,Austria,AUT,2021-03-07,871633.0,608754.0,262879.0,11940.0,24001.0,9.68,6.76,2.92,2665.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-08,Austria,AUT,2021-03-08,883330.0,619058.0,264272.0,11697.0,24396.0,9.81,6.87,2.93,2709.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-09,Austria,AUT,2021-03-09,911915.0,644091.0,267824.0,28585.0,24808.0,10.13,7.15,2.97,2754.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-10,Austria,AUT,2021-03-10,940974.0,668628.0,272346.0,29059.0,24928.0,10.45,7.42,3.02,2768.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-11,Austria,AUT,2021-03-11,985893.0,708091.0,277802.0,44919.0,27397.0,10.95,7.86,3.08,3042.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-12,Austria,AUT,2021-03-12,1044734.0,761521.0,283213.0,58841.0,30458.0,11.6,8.46,3.14,3382.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-13,Austria,AUT,2021-03-13,1097221.0,808228.0,288993.0,52487.0,33933.0,12.18,8.97,3.21,3768.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-14,Austria,AUT,2021-03-14,1128071.0,834843.0,293228.0,30850.0,36634.0,12.53,9.27,3.26,4068.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-15,Austria,AUT,2021-03-15,1149262.0,853702.0,295560.0,21191.0,37990.0,12.76,9.48,3.28,4218.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-16,Austria,AUT,2021-03-16,1177955.0,875963.0,302003.0,28693.0,38006.0,13.08,9.73,3.35,4220.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-17,Austria,AUT,2021-03-17,1212578.0,902421.0,310170.0,34623.0,38801.0,13.46,10.02,3.44,4308.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-18,Austria,AUT,2021-03-18,1247579.0,929245.0,318347.0,35001.0,37384.0,13.85,10.32,3.53,4151.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-19,Austria,AUT,2021-03-19,1301888.0,974872.0,327029.0,54309.0,36736.0,14.46,10.82,3.63,4079.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-20,Austria,AUT,2021-03-20,1349379.0,1012720.0,336672.0,47491.0,36023.0,14.98,11.24,3.74,4000.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-21,Austria,AUT,2021-03-21,1364949.0,1024402.0,340560.0,15570.0,33840.0,15.16,11.37,3.78,3757.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-22,Austria,AUT,2021-03-22,1381010.0,1037865.0,343159.0,16061.0,33107.0,15.33,11.52,3.81,3676.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-23,Austria,AUT,2021-03-23,1416968.0,1057160.0,359822.0,35958.0,34145.0,15.73,11.74,4.0,3791.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-24,Austria,AUT,2021-03-24,1456824.0,1078948.0,377891.0,39856.0,34892.0,16.18,11.98,4.2,3874.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-25,Austria,AUT,2021-03-25,1503182.0,1108705.0,394496.0,46358.0,36515.0,16.69,12.31,4.38,4054.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-26,Austria,AUT,2021-03-26,1554563.0,1141253.0,413331.0,51381.0,36096.0,17.26,12.67,4.59,4008.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-27,Austria,AUT,2021-03-27,1596077.0,1168100.0,427998.0,41514.0,35243.0,17.72,12.97,4.75,3913.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-28,Austria,AUT,2021-03-28,1610695.0,1178027.0,432689.0,14618.0,35107.0,17.88,13.08,4.8,3898.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-29,Austria,AUT,2021-03-29,1637465.0,1199180.0,438306.0,26770.0,36636.0,18.18,13.31,4.87,4068.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-30,Austria,AUT,2021-03-30,1679041.0,1228926.0,450136.0,41576.0,37439.0,18.64,13.65,5.0,4157.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-03-31,Austria,AUT,2021-03-31,1714470.0,1251183.0,463312.0,35429.0,36807.0,19.04,13.89,5.14,4087.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-04-01,Austria,AUT,2021-04-01,1756584.0,1274131.0,482481.0,42114.0,36200.0,19.5,14.15,5.36,4019.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-04-02,Austria,AUT,2021-04-02,1800713.0,1298965.0,501781.0,44129.0,35164.0,19.99,14.42,5.57,3904.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-04-03,Austria,AUT,2021-04-03,1822564.0,1311737.0,510861.0,21851.0,32355.0,20.24,14.56,5.67,3592.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-04-04,Austria,AUT,2021-04-04,1832653.0,1320058.0,512630.0,10089.0,31708.0,20.35,14.66,5.69,3521.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-04-05,Austria,AUT,2021-04-05,1845230.0,1327857.0,517411.0,12577.0,29681.0,20.49,14.74,5.74,3296.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-04-06,Austria,AUT,2021-04-06,1883622.0,1354184.0,529479.0,38392.0,29226.0,20.91,15.04,5.88,3245.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
